,Average,STD
Sif 1,0.15199681255987046,0.09997865796680432
Sif 2,0.1789713723794749,0.11822223546185831
Sif 3,0.209370734891449,0.13871795528698783
Sif 4,0.24892551054144096,0.16533777497220034
Sif 5,0.30158609055381774,0.2007468027360246
Sif 6,0.3596212371675865,0.23946031218160782
Sif 7,0.4138924917135034,0.27517991374799866
Sif 8,0.46289090647067305,0.30643951686418824
Sif 9,0.5050227613743292,0.3319592566376641
Sif 10,0.5322685926943194,0.3464552084310226
Sif 11,0.5388299721098989,0.3463962042436209
Sif 12,0.5347269906665649,0.33857401305136275
Sif 13,0.5315225960682587,0.3309502724374706
Sif 14,0.5313191424429694,0.32512552162053354
Sif 15,0.5336758136025703,0.32087969999987775
Sif 16,0.5386604274221578,0.31831253901530493
Sif 17,0.5464764375270212,0.31768830815059645
Sif 18,0.5570729805108381,0.31893643138251565
Sif 19,0.5708400091554132,0.32228223858168803
Sif 20,0.5898290141824132,0.3287081947890229
Sif 21,0.6156845790629265,0.3389614290289049
Sif 22,0.6469994828887023,0.3521664602209784
Sif 23,0.6816713715317514,0.36700485104406405
Sif 24,0.7182252062087264,0.38271173909565637
Sif 25,0.7560506260437594,0.3989529096232363
Sif 26,0.7965718064138756,0.4164548297606035
Sif 27,0.8403651992573943,0.4355015620719754
Sif 28,0.883531276756271,0.45418162342577967
Sif 29,0.9228317353746515,0.47080609584551275
Sif 30,0.9613183794918745,0.48706720876713755
Sif 31,1.0019582411434094,0.5045655444719513
Sif 32,1.0407331112297924,0.5211652460030431
Sif 33,1.07296355636937,0.5346548079455323
Sif 34,1.0992768919067841,0.5453491476645878
Sif 35,1.1201139340301618,0.5536315587629212
Sif 36,1.1304900689199155,0.5569680205674545
Sif 37,1.125505455100328,0.5530238039504232
Sif 38,1.1061095428227494,0.5422991046613831
Sif 39,1.074387731746395,0.5257390486263745
Sif 40,1.0302722039961685,0.5034018850487773
Sif 41,0.9749328179174827,0.4757841098749077
Sif 42,0.9150157252697879,0.4460531898544137
Sif 43,0.8562515364987326,0.41696687639047253
Sif 44,0.7952493578494951,0.38684164932387843
Sif 45,0.7287369768486729,0.35415683798053577
Sif 46,0.6634453175995864,0.3221108518804226
Sif 47,0.6064274391122639,0.2941578569920482
Sif 48,0.5559200766341988,0.26945294341825465
Sif 49,0.5082949738477319,0.24615224959509216
Sif 50,0.46128023193713286,0.22327381963923104
Sif 51,0.41443503471427484,0.20045355548411087
Sif 52,0.3711502759339793,0.17943339562109054
Sif 53,0.33474903147597135,0.16177024264755338
Sif 54,0.30440053237031944,0.14706005784816353
Sif 55,0.27846019514593556,0.1344868946370117
Sif 56,0.25623288658308113,0.12374835284236067
