SIF,Average,STD
Sif Emission Spectrum_sif_wavelength_grid=670,0.05042259022593498,0.02167295664548874
Sif Emission Spectrum_sif_wavelength_grid=672,0.05898459628224373,0.02537957765161991
Sif Emission Spectrum_sif_wavelength_grid=674,0.06854692101478577,0.029521357268095016
Sif Emission Spectrum_sif_wavelength_grid=676,0.08104235678911209,0.03489106893539429
Sif Emission Spectrum_sif_wavelength_grid=678,0.09765774756669998,0.04203785955905914
Sif Emission Spectrum_sif_wavelength_grid=680,0.11574815213680267,0.049845315515995026
Sif Emission Spectrum_sif_wavelength_grid=682,0.13253308832645416,0.05704571306705475
Sif Emission Spectrum_sif_wavelength_grid=684,0.14791077375411987,0.06363750249147415
Sif Emission Spectrum_sif_wavelength_grid=686,0.16193214058876038,0.06962354481220245
Sif Emission Spectrum_sif_wavelength_grid=688,0.17246085405349731,0.07402367889881134
Sif Emission Spectrum_sif_wavelength_grid=690,0.17803888022899628,0.07624354213476181
Sif Emission Spectrum_sif_wavelength_grid=692,0.18181973695755005,0.07760732620954514
Sif Emission Spectrum_sif_wavelength_grid=694,0.18744860589504242,0.07975742965936661
Sif Emission Spectrum_sif_wavelength_grid=696,0.19536633789539337,0.08285419642925262
Sif Emission Spectrum_sif_wavelength_grid=698,0.2052677571773529,0.08681588619947433
Sif Emission Spectrum_sif_wavelength_grid=700,0.21684765815734863,0.09157934039831161
Sif Emission Spectrum_sif_wavelength_grid=702,0.23007212579250336,0.09719105809926987
Sif Emission Spectrum_sif_wavelength_grid=704,0.24473775923252106,0.10356789827346802
Sif Emission Spectrum_sif_wavelength_grid=706,0.26101404428482056,0.1107880026102066
Sif Emission Spectrum_sif_wavelength_grid=708,0.28007087111473083,0.1193799301981926
Sif Emission Spectrum_sif_wavelength_grid=710,0.3030780553817749,0.12984886765480042
Sif Emission Spectrum_sif_wavelength_grid=712,0.3296457529067993,0.14215262234210968
Sif Emission Spectrum_sif_wavelength_grid=714,0.35912954807281494,0.1559775024652481
Sif Emission Spectrum_sif_wavelength_grid=716,0.39080050587654114,0.17112477123737335
Sif Emission Spectrum_sif_wavelength_grid=718,0.4244890511035919,0.18754954636096954
Sif Emission Spectrum_sif_wavelength_grid=720,0.4610259234905243,0.2056502252817154
Sif Emission Spectrum_sif_wavelength_grid=722,0.5008519291877747,0.22574450075626373
Sif Emission Spectrum_sif_wavelength_grid=724,0.5414918661117554,0.24661637842655182
Sif Emission Spectrum_sif_wavelength_grid=726,0.5807244777679443,0.2673295736312866
Sif Emission Spectrum_sif_wavelength_grid=728,0.6203131675720215,0.28868189454078674
Sif Emission Spectrum_sif_wavelength_grid=730,0.6618685126304626,0.3113260567188263
Sif Emission Spectrum_sif_wavelength_grid=732,0.7024067044258118,0.3337715268135071
Sif Emission Spectrum_sif_wavelength_grid=734,0.738587498664856,0.35441362857818604
Sif Emission Spectrum_sif_wavelength_grid=736,0.7703771591186523,0.3730965554714203
Sif Emission Spectrum_sif_wavelength_grid=738,0.7976568937301636,0.38956329226493835
Sif Emission Spectrum_sif_wavelength_grid=740,0.816374659538269,0.4017091691493988
Sif Emission Spectrum_sif_wavelength_grid=742,0.8226985931396484,0.40755245089530945
Sif Emission Spectrum_sif_wavelength_grid=744,0.81700199842453,0.4070863425731659
Sif Emission Spectrum_sif_wavelength_grid=746,0.8005731105804443,0.40090128779411316
Sif Emission Spectrum_sif_wavelength_grid=748,0.7733102440834045,0.3888550102710724
Sif Emission Spectrum_sif_wavelength_grid=750,0.7361630201339722,0.37146154046058655
Sif Emission Spectrum_sif_wavelength_grid=752,0.6946923732757568,0.3516313135623932
Sif Emission Spectrum_sif_wavelength_grid=754,0.6535778641700745,0.33190348744392395
Sif Emission Spectrum_sif_wavelength_grid=756,0.6102930903434753,0.31090858578681946
Sif Emission Spectrum_sif_wavelength_grid=758,0.5621763467788696,0.2872512638568878
Sif Emission Spectrum_sif_wavelength_grid=760,0.5143986344337463,0.2636463940143585
Sif Emission Spectrum_sif_wavelength_grid=762,0.47247016429901123,0.2428319901227951
Sif Emission Spectrum_sif_wavelength_grid=764,0.43506863713264465,0.2242063581943512
Sif Emission Spectrum_sif_wavelength_grid=766,0.3994303047657013,0.20642074942588806
Sif Emission Spectrum_sif_wavelength_grid=768,0.3639446496963501,0.18848632276058197
Sif Emission Spectrum_sif_wavelength_grid=770,0.32806897163391113,0.17025554180145264
Sif Emission Spectrum_sif_wavelength_grid=772,0.29466864466667175,0.1531812846660614
Sif Emission Spectrum_sif_wavelength_grid=774,0.2664394676685333,0.13869935274124146
Sif Emission Spectrum_sif_wavelength_grid=776,0.24270322918891907,0.12647093832492828
Sif Emission Spectrum_sif_wavelength_grid=778,0.2222222238779068,0.11588940769433975
Sif Emission Spectrum_sif_wavelength_grid=780,0.2046234905719757,0.10672114789485931
