SIF,Average,STD
Sif Emission Spectrum_sif_wavelength_grid=670,0.27598482370376587,0.043109189718961716
Sif Emission Spectrum_sif_wavelength_grid=672,0.32689911127090454,0.05189353600144386
Sif Emission Spectrum_sif_wavelength_grid=674,0.3841713070869446,0.061755675822496414
Sif Emission Spectrum_sif_wavelength_grid=676,0.4583131968975067,0.07440337538719177
Sif Emission Spectrum_sif_wavelength_grid=678,0.5563439130783081,0.09080609679222107
Sif Emission Spectrum_sif_wavelength_grid=680,0.6625807285308838,0.10791831463575363
Sif Emission Spectrum_sif_wavelength_grid=682,0.7586954832077026,0.12203992903232574
Sif Emission Spectrum_sif_wavelength_grid=684,0.8402464985847473,0.1318359375
Sif Emission Spectrum_sif_wavelength_grid=686,0.9038766026496887,0.136500284075737
Sif Emission Spectrum_sif_wavelength_grid=688,0.9359204769134521,0.1344452202320099
Sif Emission Spectrum_sif_wavelength_grid=690,0.9284267425537109,0.1254158467054367
Sif Emission Spectrum_sif_wavelength_grid=692,0.9020455479621887,0.11375213414430618
Sif Emission Spectrum_sif_wavelength_grid=694,0.8761051893234253,0.10180705785751343
Sif Emission Spectrum_sif_wavelength_grid=696,0.8559972643852234,0.09111545234918594
Sif Emission Spectrum_sif_wavelength_grid=698,0.8413994312286377,0.0818658396601677
Sif Emission Spectrum_sif_wavelength_grid=700,0.83310866355896,0.07434573769569397
Sif Emission Spectrum_sif_wavelength_grid=702,0.8316166400909424,0.0686442032456398
Sif Emission Spectrum_sif_wavelength_grid=704,0.8368216753005981,0.06458745151758194
Sif Emission Spectrum_sif_wavelength_grid=706,0.8479268550872803,0.06189775466918945
Sif Emission Spectrum_sif_wavelength_grid=708,0.8671193718910217,0.06013139337301254
Sif Emission Spectrum_sif_wavelength_grid=710,0.8970778584480286,0.059697866439819336
Sif Emission Spectrum_sif_wavelength_grid=712,0.9347168803215027,0.05989502742886543
Sif Emission Spectrum_sif_wavelength_grid=714,0.9774081110954285,0.060875631868839264
Sif Emission Spectrum_sif_wavelength_grid=716,1.023219108581543,0.062451478093862534
Sif Emission Spectrum_sif_wavelength_grid=718,1.0712342262268066,0.06456819176673889
Sif Emission Spectrum_sif_wavelength_grid=720,1.1234370470046997,0.06723158061504364
Sif Emission Spectrum_sif_wavelength_grid=722,1.1806414127349854,0.07046783715486526
Sif Emission Spectrum_sif_wavelength_grid=724,1.237506628036499,0.073897585272789
Sif Emission Spectrum_sif_wavelength_grid=726,1.2893873453140259,0.07717785239219666
Sif Emission Spectrum_sif_wavelength_grid=728,1.3406915664672852,0.08049238473176956
Sif Emission Spectrum_sif_wavelength_grid=730,1.3954715728759766,0.08409660309553146
Sif Emission Spectrum_sif_wavelength_grid=732,1.4480472803115845,0.08759648352861404
Sif Emission Spectrum_sif_wavelength_grid=734,1.4919085502624512,0.0905814841389656
Sif Emission Spectrum_sif_wavelength_grid=736,1.5277671813964844,0.0930778831243515
Sif Emission Spectrum_sif_wavelength_grid=738,1.5563693046569824,0.09515566378831863
Sif Emission Spectrum_sif_wavelength_grid=740,1.5705602169036865,0.09628947079181671
Sif Emission Spectrum_sif_wavelength_grid=742,1.5634902715682983,0.09611719101667404
Sif Emission Spectrum_sif_wavelength_grid=744,1.5364817380905151,0.0947251245379448
Sif Emission Spectrum_sif_wavelength_grid=746,1.4923663139343262,0.09220507740974426
Sif Emission Spectrum_sif_wavelength_grid=748,1.4310588836669922,0.08855916559696198
Sif Emission Spectrum_sif_wavelength_grid=750,1.3541195392608643,0.08399378508329391
Sif Emission Spectrum_sif_wavelength_grid=752,1.270822286605835,0.07891974598169327
Sif Emission Spectrum_sif_wavelength_grid=754,1.1892033815383911,0.07396284490823746
Sif Emission Spectrum_sif_wavelength_grid=756,1.1044819355010986,0.06882742792367935
Sif Emission Spectrum_sif_wavelength_grid=758,1.0120630264282227,0.06314174085855484
Sif Emission Spectrum_sif_wavelength_grid=760,0.921339750289917,0.05757297948002815
Sif Emission Spectrum_sif_wavelength_grid=762,0.8421115279197693,0.05270974710583687
Sif Emission Spectrum_sif_wavelength_grid=764,0.7719369530677795,0.04836597293615341
Sif Emission Spectrum_sif_wavelength_grid=766,0.7057467103004456,0.04429320618510246
Sif Emission Spectrum_sif_wavelength_grid=768,0.6404719948768616,0.04022277146577835
Sif Emission Spectrum_sif_wavelength_grid=770,0.5753838419914246,0.036177195608615875
Sif Emission Spectrum_sif_wavelength_grid=772,0.5152462720870972,0.032444704324007034
Sif Emission Spectrum_sif_wavelength_grid=774,0.46470504999160767,0.029266145080327988
Sif Emission Spectrum_sif_wavelength_grid=776,0.42259013652801514,0.026626992970705032
Sif Emission Spectrum_sif_wavelength_grid=778,0.386527955532074,0.02437375672161579
Sif Emission Spectrum_sif_wavelength_grid=780,0.35572168231010437,0.022428950294852257
