,Average,STD
Sif 1,0.15199681255987046,0.09997865796680432
Sif 2,0.1789713723794749,0.11822223546185831
Sif 3,0.209370734891449,0.13871795528698783
Sif 4,0.24892551054144096,0.16533777497220034
Sif 5,0.30158609055381774,0.2007468027360246
Sif 6,0.3596212371675865,0.23946031218160782
Sif 7,0.4138924917135034,0.27517991374799866
Sif 8,0.46289090647067305,0.30643951686418824
Sif 9,0.5050227613743292,0.3319592566376641
Sif 10,0.5322685926943194,0.3464552084310226
Sif 11,0.5388299721098989,0.3463962042436209
Sif 12,0.5347269906665649,0.33857401305136275
Sif 13,0.5315225960682587,0.3309502724374706
Sif 14,0.5313191424429694,0.32512552162053354
Sif 15,0.5336758136025703,0.32087969999987775
Sif 16,0.5386604274221578,0.31831253901530493
Sif 17,0.5464764375270212,0.31768830815059645
Sif 18,0.5570729805108381,0.31893643138251565
Sif 19,0.5708400091554132,0.32228223858168803
Sif 20,0.5898290141824132,0.3287081947890229
Sif 21,0.6156845790629265,0.3389614290289049
Sif 22,0.6469994828887023,0.3521664602209784
Sif 23,0.6816713715317514,0.36700485104406405
Sif 24,0.7182252062087264,0.38271173909565637
Sif 25,0.7560506260437594,0.3989529096232363
Sif 26,0.7965718064138756,0.4164548297606035
Sif 27,0.8403651992573943,0.4355015620719754
Sif 28,0.883531276756271,0.45418162342577967
Sif 29,0.9228317353746515,0.47080609584551275
Sif 30,0.9613183794918745,0.48706720876713755
Sif 31,1.0019582411434094,0.5045655444719513
Sif 32,1.0407331112297924,0.5211652460030431
Sif 33,1.07296355636937,0.5346548079455323
Sif 34,1.0992768919067841,0.5453491476645878
Sif 35,1.1201139340301618,0.5536315587629212
Sif 36,1.1304900689199155,0.5569680205674545
Sif 37,1.125505455100328,0.5530238039504232
Sif 38,1.1061095428227494,0.5422991046613831
Sif 39,1.074387731746395,0.5257390486263745
Sif 40,1.0302722039961685,0.5034018850487773
Sif 41,0.9749328179174827,0.4757841098749077
Sif 42,0.9150157252697879,0.4460531898544137
Sif 43,0.8562515364987326,0.41696687639047253
Sif 44,0.7952493578494951,0.38684164932387843
Sif 45,0.7287369768486729,0.35415683798053577
Sif 46,0.6634453175995864,0.3221108518804226
Sif 47,0.6064274391122639,0.2941578569920482
Sif 48,0.5559200766341988,0.26945294341825465
Sif 49,0.5082949738477319,0.24615224959509216
Sif 50,0.46128023193713286,0.22327381963923104
Sif 51,0.41443503471427484,0.20045355548411087
Sif 52,0.3711502759339793,0.17943339562109054
Sif 53,0.33474903147597135,0.16177024264755338
Sif 54,0.30440053237031944,0.14706005784816353
Sif 55,0.27846019514593556,0.1344868946370117
Sif 56,0.25623288658308113,0.12374835284236067
Sif 57,0.041521494027788375,0.02130313989995836
Sif 58,0.04855759856904283,0.024927301588919388
Sif 59,0.05640751761145443,0.029002936913478147
Sif 60,0.06669888015733746,0.034297436220929005
Sif 61,0.08038113645804193,0.04136222571058749
Sif 62,0.09540279579190085,0.04910528150229711
Sif 63,0.10949195934318388,0.05631519129509697
Sif 64,0.1225808092367946,0.06304219134982438
Sif 65,0.13468629994150708,0.06917909437075853
Sif 66,0.14392648542339545,0.0737475464649851
Sif 67,0.1489619626493053,0.0760700214795747
Sif 68,0.15233590193535262,0.07740671851649356
Sif 69,0.15701533531700618,0.07938182586704592
Sif 70,0.16339021557607047,0.08214951188781947
Sif 71,0.1711553622746115,0.08561010891736599
Sif 72,0.18015818519366242,0.08968189300923464
Sif 73,0.19028000305180437,0.09443163639548931
Sif 74,0.20145299797394098,0.09975074639572394
Sif 75,0.21379585124149095,0.10574732010029754
Sif 76,0.22822410416825617,0.11285316486799908
Sif 77,0.24573807041190884,0.12154170642833913
Sif 78,0.265863024846774,0.1316767439305363
Sif 79,0.2880903334096285,0.14294016304286136
Sif 80,0.311758771818282,0.15508349250274578
Sif 81,0.3367327043225419,0.16803723428539896
Sif 82,0.3636394462670498,0.1820570272762241
Sif 83,0.3927502691521918,0.19743489879822476
Sif 84,0.42218322694404176,0.21310983984061097
Sif 85,0.45020896382764086,0.22825741303041328
Sif 86,0.47821774624246594,0.24357506553773806
Sif 87,0.5074472504090265,0.25964731324321966
Sif 88,0.5357781677305596,0.2753547311793006
Sif 89,0.5606334189534006,0.28939134028240454
Sif 90,0.5820977764214204,0.30169518542906926
Sif 91,0.6001881946033927,0.3122192433016303
Sif 92,0.6119715504013972,0.3193997325429114
Sif 93,0.6146842654052542,0.3217821453801264
Sif 94,0.6086654289904463,0.31942156356029094
Sif 95,0.5949492637521936,0.31290459012392824
Sif 96,0.5734849062841738,0.30217421023676505
Sif 97,0.545018353212448,0.2876023064540213
Sif 98,0.5134999957613828,0.2713420027404001
Sif 99,0.48233768215457395,0.25526098308753714
Sif 100,0.4496833752956435,0.23831214094693243
Sif 101,0.41360426574434356,0.21948913720821914
Sif 102,0.3778642455685257,0.20080074033399437
Sif 103,0.346566296211524,0.1843838085956841
Sif 104,0.31872705848444005,0.1697748088609892
Sif 105,0.2922272237905105,0.15588812475788869
Sif 106,0.26596475165941863,0.1420140553104755
Sif 107,0.23951578037181154,0.12801358447315309
Sif 108,0.21493180064935616,0.1149457416896018
Sif 109,0.19421343980739725,0.10393047594581038
Sif 110,0.17680120037638922,0.09465689482507289
Sif 111,0.1618304044488526,0.08668727534412111
Sif 112,0.1489958715868535,0.07982155976196748
